,Brand,Product,Price,Rating,Ingridients,Reviews_Count,Allure_Winner,Clean_Product
10,URBAN DECAY,All Nighter Long-Lasting Makeup Setting Spray,33.0,496.7,"Water, Alcohol Denat., PVP, Dimethicone PEG-7 Phosphate, PPG-3 Benzyl Ether Myristate, Polyhydroxystearic Acid, Dipropylene Glycol, Isononyl Isononanoate, Ethylhexyl Isononanoate, Caprylyl Glycol, Sodium Cocamidopropyl PG-Dimonium Chloride Phosphate, Methyl Methacrylate Crosspolymer, Glycereth-5 Lactate, Sodium Hydroxide, Phenylpropanol, Fragrance, Propanediol, Methyl Diisopropyl Propionamide, Poloxamer 407, Aloe Barbadensis Leaf Juice Powder, Maltodextrin, Hexyl Cinnamal, Linalool, Citronellol, Limonene, Benzyl Alcohol, Tocopherol, Potassium Sorbate, Sodium Benzo.",9000,1,0
11,KVD VEGAN BEAUTY,Tattoo Liner,20.0,476.6,"Water, Ammonium Styrene/Acrylates Copolymer, Butylene Glycol, Alcohol, Beheneth-30, Phenoxyethanol, Acrylates/Octylacrylamide Copolymer, Methylparaben, Polyglyceryl-3 Disiloxane Dimethicone, Propylparaben, Sodium Hydroxide, Disodium EDTA, Black 2 (Ci 77266) (Nano).",17000,0,0
12,TOO FACED,Better Than Sex Mascara,25.0,409.5,No ingridients listed,15000,0,0
13,MAKE UP FOR EVER,Ultra HD Invisible Cover Foundation,43.0,380.7,"-Hyaluronic Spheres: Formulated to look fresh and be comfortable all day.
-Silica Powders: Blurs imperfections.
-Sericite: Smooths the appearance of skin.

Cyclopentasiloxane, Water, Peg-10 Dimethicone, Neopentyl Glycol Diethylhexanoate, Talc, Mica, Phenyl Trimethicone, Sodium Chloride, Lauroyl Lysine, Dimethicone Crosspolymer, Methylpropanediol, Glyceryl Caprylate, Propanediol, Disteardimonium Hectorite, Sucrose Palmitate, Phenoxyethanol, Sodium Myristoyl Glutamate, Alumina, Cyclohexasiloxane, Propylene Carbonate, Pentylene Glycol, Sorbitan Sesquioleate, Evodia Rutaecarpa Fruit Extract, Tocopheryl Acetate, Glyceryl Linoleate, Aluminum Hydroxide, Glycerin, Fragrance, Benzyl Alcohol, Benzyl Benzoate, Citric Acid, Potassium Sorbate, Sodium Hyaluronate, Tin Oxide, Bht, Tocopherol. May Contain (+/-): Yellow 5/Yellow 5 Lake (Ci 19140), Blue 1 Lake (Ci 42090), Ultramarines (Ci 77007), Bismuth Oxychloride (Ci 77163), Iron Oxides (Ci 77491, Ci 77492, Ci 77499), Titanium Dioxide (Ci 77891).",9000,0,0
14,FENTY BEAUTY BY RIHANNA,Flypencil Longwear Pencil Eyeliner,22.0,18000.0,"Trimethylsiloxysilicate, Dimethicone, Trisiloxane, Polyethylene, Silica, Cera Microcristallina/Microcrystalline Wax/Cire Microcristalline, Mica, Phenylisopropyl Dimethicone, Octyldodecanol, Polyhydroxystearic Acid, Disteardimonium Hectorite, Propylene Carbonate, Tocopheryl Acetate. May Contain/Peut Contenir (+/-): Blue 1 Lake (Ci 42090), Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77499), Yellow 5 Lake (Ci 19140).",32,0,0
15,BITE BEAUTY,Changemaker Supercharged Micellar Foundation,39.5,21000.0,"-Maqui Berry: An antioxidant-rich ingredient that helps nurture your complexion.
-Micellar Technology: Gently mimics skin texture for a smooth, non-cakey look.

Aqua/Water/Eau, C13-15 Alkane, Propanediol, Isododecane, Polyglyceryl-6 Polyricinoleate, Mica, Polymethylsilsesquioxane, Dimethicone, Trimethylsiloxysilicate, Caprylic/Capric Triglyceride, Stearoxymethicone/Dimethicone Copolymer, Coco-Caprylate/Caprate, Polyglyceryl10 Dioleate, Disteardimonium Hectorite, Hydrogenated Lecithin, Sucrose Polystearate, Sucrose Stearate, Glyceryl Caprylate, C24-28 Alkyl Methicone, Propylene Carbonate, Parfum/Fragrance, Glyceryl Undecylenate, Xanthan Gum, Sodium Hydroxide, Helianthus Annuus (Sunflower) Seed Oil, Maltose, Agave Tequilana Leaf Extract, Triethoxycaprylylsilane, Aristotelia Chilensis Fruit Extract, Hexyl Cinnamal, Linalool, Limonene. May Contain [+/-]: Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492, Ci 77499).

Clean at Sephora products are formulated without:
Sulfates—SLS + SLES, Parabens, Formaldehydes, Formaldehyde-releasing agents, Phthalates, Mineral Oil, Retinyl Palmitate, Oxybenzone, Coal Tar, Hydroquinone, Triclosan, Triclocarban, Undisclosed synthetic fragrances (Products can be formulated with disclosed synthetic fragrances that meet the following two criteria: (1) the synthetic fragrances do not include any of the ingredients listed in numbers 1 through 12 above and (2) the synthetic fragrances are at a concentration below 1% of the total formula) The following type of acrylates: (ethyl acrylate, ethyl methacrylate, methyl methacrylate, butyl methacrylate, hydroxypropyl methacrylate, tetrahydrofurfuryl methacrylate, trimethylolpropane trimethacrylate , aluminum salts), Animal Oils/Musks/Fats, Benzophenone + Related Compounds, Butoxyethanol, Carbon Black, Lead/Lead Acetate, Methyl Cellosolve + Methoxyethanol, Methylchloroisothiazolinone & Methylisothiazolinone, Mercury + Mercury Compounds (Thimerisol), Insoluble Plastic Microbeads (This prohibited ingredient applies to products that are meant to be rinsed off ), Resorcinol, Talc (Talc that is free of any asbestos can be used in the formulation provided that Brand conducts testing to ensure that talc is free of any asbestos.), Toluene, Butylated hydroxyanisole (BHA), Butylated hydroxytoluene (BHT) that is 0.1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles as defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer , styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin).",510,0,0
16,TOO FACED,Born This Way Foundation,39.0,375.9,"Water, Cyclopentasiloxane, Glycerin, Aluminum Starch Octenylsuccinate, Isododecane, Polyglyceryl-4 Isostearate, Cetyl PEG/PPG-10/1 Dimethicone, Hexyl Laurate, Dimethicone, Ethylhexyl Methoxycinnamate, Magnesium Sulfate, Diphenyl Dimethicone, Tribehenin, Triethoxycaprylylsilane, Disteardimonium Hectorite, Polysilicone-11, Propylene Carbonate, Tetrahexyldecyl Ascorbate, Cocos Nucifera Water, Ethylhexyl Palmitate, Rhododendron Ferrugineum Extract, Alcohol, Silica Dimethyl Silylate, Lecithin, Pistacia Lentiscus (Mastic) Gum, Butylene Glycol, Potassium Sorbate, Sodium Hyaluronate, EDTA, Caprylyl Glycol, Phenoxyethanol. May Contain (+/-): Titanium Dioxide (CI 77891), Iron Oxides (CI 77491, CI 77492, CI 77499).",8000,0,0
17,HOURGLASS,Vanish™ Airbrush Concealer,34.0,27.2,"Water/Aqua, Cyclopentasiloxane, Phenyl Trimethicone, Mica, Butylene Glycol, CetylPeg/Ppg-10/1 Dimethicone, Pvp, Peg-10 Dimethicone, Barium Sulfate, Sodium Chloride, VinylDimethicone/Methicone Silsesquioxane Crosspolymer, Aluminum Hydroxide, Camellia Sinensis Leaf Extract, Centella Asiatica Extract, Chamomilla Recutita (Matricaria) Flower Extract, Dimethicone, Disteardimonium Hectorite, Glycyrrhiza Glabra (Licorice) Root Extract, Methicone, Myristic Acid, Palmitic Acid, Polygonum Cuspidatum Root Extract, Polysilicone-11, Rosmarinus Officinalis (Rosemary) Leaf Extract, Scutellaria Baicalensis Root Extract, Squalane, Stearic Acid, Triethoxycaprylylsilane, Chlorphenesin, Phenoxyethanol, Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77492, Ci 77491, Ci 77499).",422,0,0
18,TOO FACED,Born This Way Super Coverage Multi-Use Sculpting Concealer,29.0,212.5,"Water, Cyclopentasiloxane, Butylene Glycol Dicaprylate/Dicaprate, Triethylhexanoin, Isoamyl Laurate, Methyl Trimethicone, Pentylene Glycol, Polyglyceryl-4 Diisostearate/Polyhydroxystearate/ Sebacate, Hydrogenated Starch Hydrolysate, Cetyl PEG/PPG-10/1 Dimethicone, Trimethylsiloxysilicate; Silica, Perfluorooctyl Triethoxysilane, Aluminum Hydroxide, Hydroxyacetophenone, Sodium Chloride, Disteardimonium Hectorite, Dimethicone, Acrylates/Polytrimethylsiloxymethacrylate Copolymer, 1,2-Hexanediol, Caprylyl Glycol, Dimethicone/Vinyl Dimethicone Crosspolymer, Trisodium Ethylenediamine Disuccinate, Glycerin, Cocos Nucifera (Coconut) Water/Cocos Nucifera Water, Sodium Hyaluronate, Cocos Nucifera (Coconut) Fruit Juice/Cocos Nucifera Fruit Juice, Rhododendron Ferrugineum Extract, Potassium Sorbate, Sodium Benzoate, Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492, Ci 77499).",2000,0,0
19,STILA,Stay All Day® Waterproof Liquid Eye Liner,22.0,304.9,"Water/Aqua/Eau, Ammonium Styrene/Acrylates Copolymer, Butylene Glycol, Alcohol, Beheneth-30, Acrylates/Octylacrylamide Copolymer, Phenoxyethanol, Methylparaben, Polyglyceryl-3 Disiloxane Dimethicone, Propylparaben, Sodium Hydroxide, Disodium EDTA, Sodium Benzoate. (+/-) Black 2 (CI 77266)(Nano).",10000,0,0
20,DRUNK ELEPHANT,Protini™ Polypeptide Moisturizer,68.0,213.7,"-Nine Signal Peptide Complex: Serves to bind moisture to skin to plump, firm, and restore bounce to skin’s appearance, helping to support skin’s natural self-renewal process.
-Pygmy Waterlily Stem Cell Extract: Acts as an excellent source of antioxidants and nutrients to nurture the skin; it is extremely moisturizing, soothing, and calming and is effective in supporting healthy, youthful-looking skin.
-Soybean Folic Acid Ferment Extract: A B vitamin that plays a central role in maintaining youthful, elastic skin; skin becomes actively thirsty for folic acid, especially after exposure to sun

Water/Aqua/Eau, Dicaprylyl Carbonate, Glycerin, Cetearyl Alcohol, Cetearyl Olivate, Sorbitan Olivate, Sclerocarya Birrea Seed Oil, Bacillus/Soybean/ Folic Acid Ferment Extract, Nymphaea Alba Root Extract, sh-Oligopeptide-1, sh-Oligopeptide-2, sh-Polypeptide-1, sh-Polypeptide-9, sh-Polypeptide-11, Copper Palmitoyl Heptapeptide-14, Heptapeptide-15 Palmitate, Palmitoyl Tetrapeptide-7, Palmitoyl Tripeptide-1, Alanine, Arginine, Glycine, Histidine, Isoleucine, Phenylalanine, Proline, Serine, Threonine, Valine, Acetyl Glutamine, Coconut Alkanes, Coco-Caprylate/Caprate, Sodium Hyaluronate, Aspartic Acid, Linoleic Acid, Linolenic Acid, Lecithin, Butylene Glycol, Polyvinyl Alcohol, Sodium Lactate, Sodium PCA, PCA, Sorbitan Isostearate, Carbomer, Polysorbate 20, Polysorbate 60, Lactic Acid/Glycolic Acid Copolymer, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Xanthan Gum, Isomalt, 1,2-Hexanediol, Caprylyl Glycol, Chlorphenesin, Phenoxyethanol, Tocopherol, Sodium Benzoate, Phenylpropanol, Glyceryl Caprylate, Symphytum Officinale Callus Culture Extract.

Clean at Sephora products are formulated without:
Sulfates—SLS + SLES, Parabens, Formaldehydes, Formaldehyde-releasing agents, Phthalates, Mineral Oil, Retinyl Palmitate, Oxybenzone, Coal Tar, Hydroquinone, Triclosan, Triclocarban, Undisclosed synthetic fragrances (Products can be formulated with disclosed synthetic fragrances that meet the following two criteria: (1) the synthetic fragrances do not include any of the ingredients listed in numbers 1 through 12 above and (2) the synthetic fragrances are at a concentration below 1% of the total formula) The following type of acrylates: (ethyl acrylate, ethyl methacrylate, methyl methacrylate, butyl methacrylate, hydroxypropyl methacrylate, tetrahydrofurfuryl methacrylate, trimethylolpropane trimethacrylate , aluminum salts), Animal Oils/Musks/Fats, Benzophenone + Related Compounds, Butoxyethanol, Carbon Black, Lead/Lead Acetate, Methyl Cellosolve + Methoxyethanol, Methylchloroisothiazolinone & Methylisothiazolinone, Mercury + Mercury Compounds (Thimerisol), Insoluble Plastic Microbeads (This prohibited ingredient applies to products that are meant to be rinsed off ), Resorcinol, Talc (Talc that is free of any asbestos can be used in the formulation provided that Brand conducts testing to ensure that talc is free of any asbestos.), Toluene, Butylated hydroxyanisole (BHA), Butylated hydroxytoluene (BHT) that is 0.1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles as defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer , styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin).",3000,0,1
